2025-06-08 08:10:31 | DEBUG | Making PUT request to: http://localhost:8000/test/hs/api/orders/000000001/status
2025-06-08 08:10:31 | DEBUG | API response status: 400
2025-06-08 08:10:40 | DEBUG | Making PUT request to: http://localhost:8000/test/hs/api/orders/000000001/status
2025-06-08 08:10:40 | DEBUG | API response status: 200
2025-06-08 08:10:40 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/orders/statuses/list
2025-06-08 08:10:40 | DEBUG | API response status: 200
2025-06-08 08:11:31 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/service-orders
2025-06-08 08:11:31 | DEBUG | API response status: 200
2025-06-08 08:11:32 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/service-orders/000000001
2025-06-08 08:11:32 | DEBUG | API response status: 200
2025-06-08 08:11:35 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/orders/statuses/list
2025-06-08 08:11:35 | DEBUG | API response status: 200
2025-06-08 08:11:35 | DEBUG | Making POST request to: http://localhost:8000/test/hs/api/orders/000000001/status
2025-06-08 08:11:35 | DEBUG | API response status: 200
2025-06-08 08:11:39 | DEBUG | Making PUT request to: http://localhost:8000/test/hs/api/orders/000000001/status
2025-06-08 08:11:39 | DEBUG | API response status: 200
2025-06-08 08:11:39 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/orders/statuses/list
2025-06-08 08:11:39 | DEBUG | API response status: 200
2025-06-08 08:17:06 | INFO | Запуск бота для механиков СТО...
2025-06-08 08:17:06 | INFO | Бот механиков СТО запущен
